ID,Name,Macroarea,Latitude,Longitude,ISO639P3code,Family,Subfamily,ISO_codes,Country_ID,100A,101A,102A,103A,104A,105A,106A,107A,108A,108B,109A,109B,10A,10B,110A,111A,112A,113A,114A,115A,116A,117A,118A,119A,11A,120A,121A,122A,123A,124A,125A,126A,127A,128A,129A,12A,130A,130B,131A,132A,133A,134A,135A,136A,136B,137A,137B,138A,139A,13A,140A,141A,142A,143A,143B,143C,143D,143E,143F,143G,144A,144B,144C,144D,144E,144F,144G,144H,144I,144J,144K,144L,144M,144N,144O,144P,144Q,144R,144S,144T,144U,144V,144W,144X,144Y,14A,15A,16A,17A,18A,19A,1A,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,2A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,39B,3A,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,4A,50A,51A,52A,53A,54A,55A,56A,57A,58A,58B,59A,5A,60A,61A,62A,63A,64A,65A,66A,67A,68A,69A,6A,70A,71A,72A,73A,74A,75A,76A,77A,78A,79A,79B,7A,80A,81A,81B,82A,83A,84A,85A,86A,87A,88A,89A,8A,90A,90B,90C,90D,90E,90F,90G,91A,92A,93A,94A,95A,96A,97A,98A,99A,9A,Lexifier,Num_Speakers,Abandono,Pidgin/Creole
aga,Agarabi,Papunesia,-6.16666666667,146.0,agd,Trans-New Guinea,,agd,PG,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,4.0,,,,,,,,,,5.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,2.0,,,,,2.0,,4.0,2.0,,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,,6.0,,,,,1.0,,,,,,,0.0
agb,Leggbó,Africa,6.0,8.0,agb,Niger-Congo,Benue-Congo,agb,NG,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,2.0,4.0,4.0,20.0,,7.0,,,,,,,,,11.0,,,,4.0,4.0,2.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,2.0,,,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,4.0,,,,,,,0.0
agc,Agta (Central),Papunesia,17.9666666667,121.833333333,agt,Austronesian,,agt,PH,,,,,,,,,,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,5.0,3.0,2.0,1.0,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,9.0,3.0,,,,,,,,,,,,,,,,,,1.0,,1.0,6.0,4.0,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,7.0,,,,3.0,,,,,,,,,,,,,,,,,9.0,,,,,,2.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,3.0,,2.0,2.0,,2.0,2.0,1.0,4.0,1.0,,,,,,,,,3.0,1.0,1.0,,4.0,,3.0,,,,,,,0.0
agd,Agta (Dupaningan),Papunesia,18.0,122.083333333,duo,Austronesian,,duo,PH,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,9.0,3.0,,,,,,,,,,,,,,,,,,1.0,,1.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2.0,2.0,,,2.0,1.0,6.0,1.0,,,,,,,,,,3.0,1.0,,,,3.0,,,,,,,0.0
agh,Aghem,Africa,6.66666666667,10.0,agq,Niger-Congo,Benue-Congo,agq,CM,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,6.0,,,,1.0,1.0,4.0,16.0,,,13.0,1.0,,,4.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,2.0,,,,,,,,,,,4.0,,,,,,,,4.0,,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,2.0,,1.0,2.0,,,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,4.0,,,,,,,0.0
agl,Aghul,Eurasia,41.75,47.6666666667,agx,Nakh-Daghestanian,Daghestanian,agx,RU,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,6.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
agm,Angami,Eurasia,25.6666666667,94.5,,Sino-Tibetan,Tibeto-Burman,njm nri,IN,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,1.0,4.0,8.0,4.0,,,,,,,,,,4.0,,,,4.0,4.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,8.0,,,,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,2.0,2.0,2.0,,1.0,,1.0,,,,,2.0,2.0,,2.0,1.0,2.0,2.0,,,,,,,0.0
ago,Angolar,Africa,0.25,6.5,aoa,other,,aoa,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
agr,Aguaruna,South America,-5.0,-78.0,agr,Jivaroan,,agr,PE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0
agt,Anguthimri,Australia,-12.3333333333,141.833333333,lnj,Pama-Nyungan,,lnj,AU,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,1.0,1.0,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,2.0,,,,,,,,1.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,1.0,,,,,1.0,,1.0,1.0,4.0,,,2.0,2.0,2.0,,,,,,,,,,,,,,,2.0,,,,,,,0.0
agu,Aguacatec,North America,15.4166666667,-91.3333333333,agu,Mayan,,agu,GT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,0.0
agw,Alagwa,Africa,-5.5,35.75,wbj,Afro-Asiatic,Cushitic,wbj,TZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,6.0,5.0,,,,,,,,,,,,,,,,,,,4.0,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
aho,Arapaho,North America,40.0,-103.0,arp,Algic,,arp,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,0.0
ahs,Arabic (Bani-Hassan),Africa,20.0,-10.0,mey,Afro-Asiatic,,mey,MR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
aht,Ahtna,North America,62.0,-145.0,aht,Na-Dene,,aht,US,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,3.0,2.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,4.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,4.0,,,,,,,,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,4.0,,,,,,,,,,,,2.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,0.0
ahu,Aghu,Papunesia,-6.16666666667,140.166666667,ahh,Trans-New Guinea,,ahh,ID,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
aik,Aikaná,South America,-12.6666666667,-60.6666666667,tba,,,tba,BR,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,3.0,,,,,,,,,,,4.0,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,3.0,,,,0.0
ain,Ainu,Eurasia,43.0,143.0,ain,,,ain,JP,6.0,2.0,5.0,5.0,2.0,3.0,2.0,1.0,3.0,4.0,3.0,3.0,2.0,,,2.0,2.0,1.0,7.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,3.0,,,,,1.0,1.0,1.0,1.0,,,2.0,,,,1.0,,,,1.0,4.0,4.0,7.0,3.0,,,,,,,,,,3.0,,,,4.0,4.0,1.0,11.0,,,,,,,,,,,1.0,1.0,1.0,,,,3.0,4.0,1.0,5.0,2.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,,,5.0,,2.0,5.0,2.0,2.0,1.0,6.0,2.0,1.0,,3.0,9.0,1.0,2.0,9.0,2.0,1.0,6.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,,,1.0,2.0,2.0,4.0,2.0,4.0,2.0,1.0,4.0,2.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,5.0,1.0,3.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,0.0
aiz,Aizi,Africa,5.25,-4.5,ahp,Niger-Congo,,ahp,CI,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,2.0,,,,,,,,,,,4.0,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0.0
aja,Aja,Africa,7.33333333333,25.6666666667,aja,Central Sudanic,,aja,CF SS,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,1.0,4.0,4.0,6.0,,4.0,,,,4.0,8.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,1.0,2.0,,2.0,2.0,1.0,,3.0,,,,,,,,,,,,,4.0,,3.0,,,,,,,0.0
ajg,Ajagbe,Africa,7.0,1.75,ajg,Niger-Congo,,ajg,BJ TG,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,1.0,1.0,4.0,16.0,,,13.0,28.0,,,,,,,15.0,23.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,1.0,3.0,6.0,1.0,3.0,2.0,2.0,2.0,,1.0,,1.0,,,,,,2.0,,,5.0,5.0,5.0,,,,,,,0.0
aji,Ajië,Papunesia,-21.3333333333,165.5,aji,Austronesian,Eastern Malayo-Polynesian,aji,NC,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
aka,Aka,Africa,2.66666666667,16.25,axk,Niger-Congo,Benue-Congo,axk,CF CG,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
akb,Aka-Biada,Eurasia,11.6666666667,92.5,abj,Great Andamanese,,abj,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.0
akc,Aka-Cari,Eurasia,13.5,93.0,aci,Great Andamanese,,aci,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.0
akh,Akha,Eurasia,21.8333333333,99.8333333333,ahk,Sino-Tibetan,Tibeto-Burman,ahk,CN TH MM,,,,,,1.0,,,,,,,,,,,4.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,7.0,3.0,,,,,,,,,,3.0,,,,4.0,4.0,1.0,11.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,3.0,2.0,,,,,1.0,,1.0,1.0,,1.0,1.0,2.0,2.0,2.0,,2.0,1.0,,,,,,3.0,2.0,2.0,2.0,1.0,1.0,2.0,,,,,,,0.0
akk,Aka-Kede,Eurasia,12.75,92.75,akx,Great Andamanese,,akx,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.0
akl,Aklanon,Papunesia,11.5833333333,122.333333333,akl,Austronesian,,akl,PH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
akm,Arakanese (Marma),Eurasia,21.5,92.5,rmz,Sino-Tibetan,Tibeto-Burman,rmz,BD MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
akn,Akan,Africa,6.5,-1.25,aka,Niger-Congo,,aka,GH,,,,,,2.0,,,,,,,,,,,1.0,,,,1.0,3.0,3.0,1.0,1.0,1.0,,,,,2.0,2.0,2.0,1.0,,2.0,,,,,,,,,,,,,,2.0,,,,3.0,,,,2.0,4.0,4.0,20.0,,,5.0,,,,4.0,2.0,7.0,4.0,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,,,,,,,,,6.0,1.0,,,3.0,,,,6.0,,,1.0,2.0,,,,2.0,,,,,,,,,,,2.0,,9.0,,,2.0,,,1.0,,,,2.0,,,,2.0,,1.0,4.0,1.0,3.0,1.0,1.0,2.0,1.0,,,2.0,3.0,3.0,,,,,1.0,,2.0,,1.0,2.0,,4.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,2.0,5.0,2.0,5.0,5.0,,4.0,,,,,,,0.0
ako,Arabic (Kormakiti),Eurasia,35.25,33.5,acy,Afro-Asiatic,,acy,CY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
akr,Arikara,North America,45.5,-100.5,ari,Caddoan,,ari,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
akw,Akawaio,South America,6.0,-59.5,ake,Cariban,,ake,GY,,,,,,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,4.0,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.0
ala,Alamblak,Papunesia,-4.66666666667,143.333333333,amp,Sepik,,amp,PG,2.0,2.0,5.0,2.0,2.0,3.0,,2.0,3.0,4.0,1.0,4.0,2.0,,,4.0,2.0,3.0,2.0,,6.0,4.0,3.0,1.0,1.0,1.0,,4.0,4.0,,3.0,3.0,3.0,,,3.0,,,3.0,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,,,,1.0,4.0,4.0,7.0,3.0,,,,,,,,,,3.0,,,,4.0,4.0,1.0,11.0,,,,,,,1.0,6.0,5.0,,1.0,1.0,2.0,1.0,5.0,1.0,6.0,1.0,2.0,5.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,8.0,6.0,6.0,3.0,1.0,4.0,3.0,,2.0,3.0,2.0,1.0,5.0,3.0,1.0,,1.0,2.0,7.0,2.0,2.0,6.0,2.0,6.0,,1.0,,4.0,2.0,1.0,1.0,2.0,,,8.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,4.0,1.0,2.0,,,,1.0,1.0,1.0,5.0,1.0,1.0,1.0,,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,2.0,6.0,2.0,,1.0,1.0,1.0,1.0,,3.0,,,,0.0
alb,Albanian,Eurasia,41.0,20.0,,Indo-European,,aln als,RS AL,2.0,2.0,5.0,2.0,3.0,,,1.0,,,,,,,,,2.0,1.0,7.0,,1.0,5.0,2.0,2.0,3.0,1.0,4.0,,,2.0,,,,,,3.0,,,1.0,,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,1.0,4.0,4.0,2.0,3.0,,2.0,,,,4.0,1.0,7.0,4.0,,,,,,,,,,,,,,,,,,,1.0,5.0,3.0,,,,,,,,,2.0,,,,3.0,,,,2.0,,,4.0,3.0,1.0,,,3.0,,,,,2.0,1.0,,,2.0,4.0,4.0,6.0,1.0,1.0,6.0,5.0,1.0,,4.0,,,,2.0,6.0,5.0,3.0,1.0,,,,,,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,,,1.0,,2.0,,1.0,2.0,,2.0,2.0,2.0,1.0,1.0,2.0,1.0,,1.0,,,,,1.0,1.0,,1.0,4.0,4.0,4.0,,,3.0,,,,0.0
alc,Allentiac,South America,-31.0,-68.0,,Huarpe,,,AR,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
ald,Alladian,Africa,5.16666666667,-4.33333333333,ald,Niger-Congo,,ald,CI,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,3.0,,,,,,,,,,,4.0,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0.0
ale,Aleut,North America,54.0,-166.0,ale,Eskimo-Aleut,,ale,US,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,4.0,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,1.0,1.0,2.0,,3.0,,,,,,,,,,2.0,,,,,,2.0,,4.0,1.0,3.0,6.0,4.0,,,2.0,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.0
alg,Algonquin,North America,46.0,-77.0,alq,Algic,,alq,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
alk,Arop-Lokep,Papunesia,-5.38333333333,147.05,apr,Austronesian,Eastern Malayo-Polynesian,apr,PG,,,,,,1.0,,,,,,,,,,,2.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,1.0,4.0,4.0,6.0,,4.0,,,,4.0,8.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,1.0,2.0,,2.0,3.0,2.0,2.0,2.0,,1.0,,1.0,,,,,,6.0,2.0,1.0,4.0,4.0,4.0,,,,,,,0.0
all,Ala'ala,Papunesia,-8.91666666667,146.75,nrz,Austronesian,Eastern Malayo-Polynesian,nrz,PG,,2.0,,,,3.0,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,21.0,,,,,,,,,,,14.0,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,4.0,1.0,2.0,2.0,2.0,,1.0,,1.0,,,,,,1.0,2.0,1.0,5.0,5.0,,,,,,,,0.0
aln,Alune,Papunesia,-3.0,128.333333333,alp,Austronesian,,alp,ID,,6.0,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,1.0,4.0,4.0,6.0,,4.0,,,,4.0,8.0,7.0,1.0,,,,,,,,,,,,,,,6.0,8.0,1.0,5.0,,,,,,,,,,,,4.0,,,,,,,,2.0,,,,5.0,5.0,,,,,,,,,,,,,,,,9.0,,,,3.0,,3.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,2.0,,1.0,2.0,,2.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,1.0,4.0,,4.0,,,3.0,,,,0.0
